# epoch,5k,10k,50k,100k,1M
1.000000000000000000e+00,3.100000000000000000e+01,6.100000000000000000e+01,3.010000000000000000e+02,6.010000000000000000e+02,6.001000000000000000e+03
2.000000000000000000e+00,1.179550599550180046e+00,1.359101199100360091e+00,2.795505995501800456e+00,4.591011991003600912e+00,3.691011991003600912e+01
3.000000000000000000e+00,1.001074613926627555e+00,1.002149227853255331e+00,1.010746139266276433e+00,1.021492278532552644e+00,1.214922785325527332e+00
