# indices,1k
4.230000000000000000e+02,6.661596794939999011e-01
4.240000000000000000e+02,6.673113726480000008e-01
4.250000000000000000e+02,6.684610697999999740e-01
4.260000000000000000e+02,6.696087709500000429e-01
4.270000000000000000e+02,6.707544760979999854e-01
4.280000000000000000e+02,6.718981852440000235e-01
4.290000000000000000e+02,6.730398983880000463e-01
4.300000000000000000e+02,6.741796155299999427e-01
4.310000000000000000e+02,6.753173366699999347e-01
4.320000000000000000e+02,6.764530618079999114e-01
4.330000000000000000e+02,6.775867909439999837e-01
4.340000000000000000e+02,6.787185240780000406e-01
4.350000000000000000e+02,6.798482612100000821e-01
4.360000000000000000e+02,6.809760023399999973e-01
4.370000000000000000e+02,6.821017474679998971e-01
4.380000000000000000e+02,6.832254965940000035e-01
4.390000000000000000e+02,6.843472497179999836e-01
4.400000000000000000e+02,6.854670068399999483e-01
4.410000000000000000e+02,6.865847679600000086e-01
4.420000000000000000e+02,6.877005330780000536e-01
4.430000000000000000e+02,6.888143021940000832e-01
4.440000000000000000e+02,6.899260753080000974e-01
4.450000000000000000e+02,6.910358524199999852e-01
4.460000000000000000e+02,6.921436335300000797e-01
4.470000000000000000e+02,6.932494186380000478e-01
4.480000000000000000e+02,6.943532077440000005e-01
4.490000000000000000e+02,6.954550008480000489e-01
4.500000000000000000e+02,6.965547979499999709e-01
4.510000000000000000e+02,6.976525990499999885e-01
4.520000000000000000e+02,6.987484041479998798e-01
4.530000000000000000e+02,6.998422132439999777e-01
4.540000000000000000e+02,7.009340263379999492e-01
4.550000000000000000e+02,7.020238434299999053e-01
4.560000000000000000e+02,7.031116645199999571e-01
4.570000000000000000e+02,7.041974896080001045e-01
4.580000000000000000e+02,7.052813186940000145e-01
4.590000000000000000e+02,7.063631517779999092e-01
4.600000000000000000e+02,7.074429888599998995e-01
4.610000000000000000e+02,7.085208299399999854e-01
4.620000000000000000e+02,7.095966750179999449e-01
4.630000000000000000e+02,7.106705240940000001e-01
4.640000000000000000e+02,7.117423771680001510e-01
4.650000000000000000e+02,7.128122342400000644e-01
4.660000000000000000e+02,7.138800953099999624e-01
4.670000000000000000e+02,7.149459603779999561e-01
4.680000000000000000e+02,7.160098294440000455e-01
4.690000000000000000e+02,7.170717025080000084e-01
4.700000000000000000e+02,7.181315795700000670e-01
4.710000000000000000e+02,7.191894606299999992e-01
4.720000000000000000e+02,7.202453456880001381e-01
4.730000000000000000e+02,7.212992347440000396e-01
4.740000000000000000e+02,7.223511277979999257e-01
4.750000000000000000e+02,7.234010248500000184e-01
4.760000000000000000e+02,7.244489259000000958e-01
4.770000000000000000e+02,7.254948309479999358e-01
4.780000000000000000e+02,7.265387399940000934e-01
4.790000000000000000e+02,7.275806530380000137e-01
4.800000000000000000e+02,7.286205700800000296e-01
4.810000000000000000e+02,7.296584911200000301e-01
4.820000000000000000e+02,7.306944161579999042e-01
4.830000000000000000e+02,7.317283451939999850e-01
4.840000000000000000e+02,7.327602782280000504e-01
4.850000000000000000e+02,7.337902152599999894e-01
4.860000000000000000e+02,7.348181562900001351e-01
4.870000000000000000e+02,7.358441013180000434e-01
4.880000000000000000e+02,7.368680503439999363e-01
4.890000000000000000e+02,7.378900033679999249e-01
4.900000000000000000e+02,7.389099603900000091e-01
4.910000000000000000e+02,7.399279214100000779e-01
4.920000000000000000e+02,7.409438864280001313e-01
4.930000000000000000e+02,7.419578554440000584e-01
4.940000000000000000e+02,7.429698284579999701e-01
4.950000000000000000e+02,7.439798054699998664e-01
4.960000000000000000e+02,7.449877864800000804e-01
4.970000000000000000e+02,7.459937714879999460e-01
4.980000000000000000e+02,7.469977604940000182e-01
4.990000000000000000e+02,7.479997534980000751e-01
5.000000000000000000e+02,7.489997505000000055e-01
5.010000000000000000e+02,7.499977515000001427e-01
5.020000000000000000e+02,7.509937564979999314e-01
5.030000000000000000e+02,7.519877654939999267e-01
5.040000000000000000e+02,7.529797784880000178e-01
5.050000000000000000e+02,7.539697954799999824e-01
5.060000000000000000e+02,7.549578164700000427e-01
5.070000000000000000e+02,7.559438414580000876e-01
5.080000000000000000e+02,7.569278704440000061e-01
5.090000000000000000e+02,7.579099034280000202e-01
5.100000000000000000e+02,7.588899404100000190e-01
5.110000000000000000e+02,7.598679813900000024e-01
5.120000000000000000e+02,7.608440263679999704e-01
5.130000000000000000e+02,7.618180753440000341e-01
5.140000000000000000e+02,7.627901283179999714e-01
5.150000000000000000e+02,7.637601852900000043e-01
5.160000000000000000e+02,7.647282462600000219e-01
5.170000000000000000e+02,7.656943112280000241e-01
5.180000000000000000e+02,7.666583801939998999e-01
5.190000000000000000e+02,7.676204531580000934e-01
5.200000000000000000e+02,7.685805301199999384e-01
5.210000000000000000e+02,7.695386110799999901e-01
5.220000000000000000e+02,7.704946960380000265e-01
5.230000000000000000e+02,7.714487849940000475e-01
5.240000000000000000e+02,7.724008779479999420e-01
5.250000000000000000e+02,7.733509749000000433e-01
5.260000000000000000e+02,7.742990758500000181e-01
5.270000000000000000e+02,7.752451807980000886e-01
5.280000000000000000e+02,7.761892897440000327e-01
5.290000000000000000e+02,7.771314026880000725e-01
5.300000000000000000e+02,7.780715196299999858e-01
5.310000000000000000e+02,7.790096405699998838e-01
5.320000000000000000e+02,7.799457655079999885e-01
5.330000000000000000e+02,7.808798944440000778e-01
5.340000000000000000e+02,7.818120273779999296e-01
5.350000000000000000e+02,7.827421643099999882e-01
5.360000000000000000e+02,7.836703052400000313e-01
5.370000000000000000e+02,7.845964501679999481e-01
5.380000000000000000e+02,7.855205990940000715e-01
5.390000000000000000e+02,7.864427520179999576e-01
5.400000000000000000e+02,7.873629089399999392e-01
5.410000000000000000e+02,7.882810698599999055e-01
5.420000000000000000e+02,7.891972347779999675e-01
5.430000000000000000e+02,7.901114036940000140e-01
5.440000000000000000e+02,7.910235766080000452e-01
5.450000000000000000e+02,7.919337535200000611e-01
5.460000000000000000e+02,7.928419344300000615e-01
5.470000000000000000e+02,7.937481193379999356e-01
5.480000000000000000e+02,7.946523082440000163e-01
5.490000000000000000e+02,7.955545011479999706e-01
5.500000000000000000e+02,7.964546980500000206e-01
5.510000000000000000e+02,7.973528989500000552e-01
5.520000000000000000e+02,7.982491038479999634e-01
5.530000000000000000e+02,7.991433127439999673e-01
5.540000000000000000e+02,8.000355256379999558e-01
5.550000000000000000e+02,8.009257425299999289e-01
5.560000000000000000e+02,8.018139634199999977e-01
5.570000000000000000e+02,8.027001883080000511e-01
5.580000000000000000e+02,8.035844171940000891e-01
5.590000000000000000e+02,8.044666500780000007e-01
5.600000000000000000e+02,8.053468869599998969e-01
5.610000000000000000e+02,8.062251278399999999e-01
5.620000000000000000e+02,8.071013727179999764e-01
5.630000000000000000e+02,8.079756215939999375e-01
5.640000000000000000e+02,8.088478744679999943e-01
5.650000000000000000e+02,8.097181313400000358e-01
5.660000000000000000e+02,8.105863922100000618e-01
5.670000000000000000e+02,8.114526570779999615e-01
5.680000000000000000e+02,8.123169259439999568e-01
5.690000000000000000e+02,8.131791988080000477e-01
5.700000000000000000e+02,8.140394756699999013e-01
5.710000000000000000e+02,8.148977565299999615e-01
5.720000000000000000e+02,8.157540413880000063e-01
5.730000000000000000e+02,8.166083302440000358e-01
5.740000000000000000e+02,8.174606230980000499e-01
5.750000000000000000e+02,8.183109199499999376e-01
5.760000000000000000e+02,8.191592207999999209e-01
5.770000000000000000e+02,8.200055256479999999e-01
5.780000000000000000e+02,8.208498344939999525e-01
5.790000000000000000e+02,8.216921473380000007e-01
5.800000000000000000e+02,8.225324641800000336e-01
5.810000000000000000e+02,8.233707850200001621e-01
5.820000000000000000e+02,8.242071098579999422e-01
