# proportion, advantage
1.000000000000000021e-03,1.996002000000001927e-03
2.000000000000000042e-03,3.990007998000050932e-03
3.000000000000000062e-03,5.982017994000035123e-03
4.000000000000000083e-03,7.972031987999957103e-03
5.000000000000000104e-03,9.960049980000034581e-03
6.000000000000000125e-03,1.194607197000004811e-02
7.000000000000000146e-03,1.393009795799999770e-02
8.000000000000000167e-03,1.591212794399999783e-02
8.999999999999999320e-03,1.789216192800003810e-02
1.000000000000000021e-02,1.987019991000002136e-02
1.099999999999999936e-02,2.184624189000004477e-02
1.200000000000000025e-02,2.382028786800000769e-02
1.299999999999999940e-02,2.579233784400001422e-02
1.400000000000000029e-02,2.776239181799996375e-02
1.499999999999999944e-02,2.973044978999995688e-02
1.600000000000000033e-02,3.169651175999999709e-02
1.700000000000000122e-02,3.366057772799996989e-02
1.799999999999999864e-02,3.562264769399998976e-02
1.899999999999999953e-02,3.758272165799995262e-02
2.000000000000000042e-02,3.954079961999995563e-02
2.100000000000000130e-02,4.149688157999999877e-02
2.199999999999999872e-02,4.345096753799999184e-02
2.299999999999999961e-02,4.540305749400002505e-02
2.400000000000000050e-02,4.735315144799999432e-02
2.500000000000000139e-02,4.930124940000001760e-02
2.599999999999999881e-02,5.124735134999996305e-02
2.699999999999999969e-02,5.319145729799996253e-02
2.800000000000000058e-02,5.513356724400001602e-02
2.900000000000000147e-02,5.707368118799999862e-02
2.999999999999999889e-02,5.901179913000002830e-02
3.099999999999999978e-02,6.094792106999998710e-02
3.200000000000000067e-02,6.288204700800001379e-02
3.300000000000000155e-02,6.481417694399994878e-02
3.400000000000000244e-02,6.674431087799993778e-02
3.500000000000000333e-02,6.867244880999998080e-02
3.599999999999999728e-02,7.059859073999996681e-02
3.699999999999999817e-02,7.252273666799999297e-02
3.799999999999999906e-02,7.444488659399994823e-02
3.899999999999999994e-02,7.636504051799995751e-02
4.000000000000000083e-02,7.828319844000002081e-02
4.100000000000000172e-02,8.019936036000001323e-02
4.200000000000000261e-02,8.211352627800003190e-02
4.299999999999999656e-02,8.402569619400000744e-02
4.399999999999999745e-02,8.593587010800002313e-02
4.499999999999999833e-02,8.784404801999998180e-02
4.599999999999999922e-02,8.975022992999999449e-02
4.700000000000000011e-02,9.165441583800004732e-02
4.800000000000000100e-02,9.355660574400002927e-02
4.900000000000000189e-02,9.545679964799995421e-02
5.000000000000000278e-02,9.735499755000003030e-02
5.099999999999999672e-02,9.925119945000004940e-02
5.199999999999999761e-02,1.011454053479999837e-01
5.299999999999999850e-02,1.030376152439999859e-01
5.399999999999999939e-02,1.049278291380000283e-01
5.500000000000000028e-02,1.068160470300000137e-01
5.600000000000000117e-02,1.087022689200000392e-01
5.700000000000000205e-02,1.105864948080000076e-01
5.800000000000000294e-02,1.124687246940000163e-01
5.899999999999999689e-02,1.143489585779999679e-01
5.999999999999999778e-02,1.162271964599999596e-01
6.099999999999999867e-02,1.181034383399999915e-01
6.199999999999999956e-02,1.199776842179999664e-01
6.300000000000000044e-02,1.218499340939999953e-01
6.400000000000000133e-02,1.237201879679999533e-01
6.500000000000000222e-02,1.255884458399999515e-01
6.600000000000000311e-02,1.274547077100000037e-01
6.700000000000000400e-02,1.293189735780000127e-01
6.800000000000000488e-02,1.311812434440000341e-01
6.900000000000000577e-02,1.330415173080000124e-01
7.000000000000000666e-02,1.348997951700000308e-01
7.099999999999999367e-02,1.367560770299999784e-01
7.199999999999999456e-02,1.386103628879999661e-01
7.299999999999999545e-02,1.404626527440000494e-01
7.399999999999999634e-02,1.423129465980000063e-01
7.499999999999999722e-02,1.441612444500000312e-01
7.599999999999999811e-02,1.460075463000000129e-01
7.699999999999999900e-02,1.478518521480000070e-01
7.799999999999999989e-02,1.496941619939999857e-01
7.900000000000000078e-02,1.515344758379999490e-01
8.000000000000000167e-02,1.533727936800000080e-01
8.100000000000000255e-02,1.552091155199999961e-01
8.200000000000000344e-02,1.570434413580000244e-01
8.300000000000000433e-02,1.588757711939999817e-01
8.400000000000000522e-02,1.607061050279999792e-01
8.500000000000000611e-02,1.625344428600000446e-01
8.599999999999999312e-02,1.643607846900000113e-01
8.699999999999999400e-02,1.661851305179999627e-01
8.799999999999999489e-02,1.680074803440000375e-01
8.899999999999999578e-02,1.698278341679999581e-01
8.999999999999999667e-02,1.716461919900000022e-01
9.099999999999999756e-02,1.734625538100000308e-01
9.199999999999999845e-02,1.752769196279999608e-01
9.299999999999999933e-02,1.770892894439999310e-01
9.400000000000000022e-02,1.788996632579999968e-01
9.500000000000000111e-02,1.807080410699999362e-01
9.600000000000000200e-02,1.825144228799999713e-01
9.700000000000000289e-02,1.843188086880000187e-01
9.800000000000000377e-02,1.861211984940000508e-01
9.900000000000000466e-02,1.879215922979999565e-01
1.000000000000000056e-01,1.897199900999999578e-01
1.010000000000000064e-01,1.915163918999999715e-01
1.019999999999999934e-01,1.933107976980000531e-01
1.029999999999999943e-01,1.951032074939999528e-01
1.039999999999999952e-01,1.968936212880000036e-01
1.049999999999999961e-01,1.986820390800000113e-01
1.059999999999999970e-01,2.004684608700000314e-01
1.069999999999999979e-01,2.022528866580000362e-01
1.079999999999999988e-01,2.040353164440000255e-01
1.089999999999999997e-01,2.058157502280000273e-01
1.100000000000000006e-01,2.075941880100000136e-01
1.110000000000000014e-01,2.093706297899999569e-01
1.120000000000000023e-01,2.111450755680000513e-01
1.130000000000000032e-01,2.129175253439999638e-01
1.140000000000000041e-01,2.146879791179999442e-01
1.150000000000000050e-01,2.164564368899999647e-01
1.160000000000000059e-01,2.182228986600000531e-01
1.170000000000000068e-01,2.199873644280000429e-01
1.179999999999999938e-01,2.217498341939999895e-01
1.189999999999999947e-01,2.235103079579999485e-01
1.199999999999999956e-01,2.252687857200000032e-01
1.209999999999999964e-01,2.270252674799999593e-01
1.219999999999999973e-01,2.287797532379999554e-01
1.229999999999999982e-01,2.305322429940000473e-01
1.239999999999999991e-01,2.322827367480000127e-01
1.250000000000000000e-01,2.340312344999999628e-01
1.260000000000000009e-01,2.357777362500000362e-01
1.270000000000000018e-01,2.375222419979999833e-01
1.280000000000000027e-01,2.392647517440000260e-01
1.290000000000000036e-01,2.410052654880000533e-01
1.300000000000000044e-01,2.427437832299999820e-01
1.310000000000000053e-01,2.444803049699999786e-01
1.320000000000000062e-01,2.462148307080000431e-01
1.330000000000000071e-01,2.479473604439999812e-01
1.340000000000000080e-01,2.496778941780000427e-01
1.350000000000000089e-01,2.514064319100000056e-01
1.360000000000000098e-01,2.531329736399999808e-01
1.370000000000000107e-01,2.548575193680000517e-01
1.380000000000000115e-01,2.565800690940000517e-01
1.390000000000000124e-01,2.583006228179999808e-01
1.400000000000000133e-01,2.600191805400000056e-01
1.409999999999999865e-01,2.617357422600000705e-01
1.419999999999999873e-01,2.634503079780000090e-01
1.429999999999999882e-01,2.651628776939999876e-01
1.439999999999999891e-01,2.668734514080000619e-01
