# bandwidth_advantage,1k
1.000000000000000000e+00,3.589598416000000514e-01
2.000000000000000000e+00,6.364774656000000697e-01
3.000000000000000000e+00,8.335071695999998198e-01
4.000000000000000000e+00,9.509994496000000463e-01
5.000000000000000000e+00,9.899010000000000309e-01
