# bandwidth_advantage,1k
2.000000000000000000e+02,3.598959984016000258e-01
4.000000000000000000e+02,6.396479744256000632e-01
6.000000000000000000e+02,8.393518705295999194e-01
8.000000000000000000e+02,9.591035908096000595e-01
1.000000000000000000e+03,9.989990010000000531e-01
