# big steps,1k,5k,10k,100k
2.000000000000000111e-01,3.594799602000000038e-01,3.598959984016000258e-01,3.599479996001999638e-01,3.599947999960002032e-01
4.000000000000000222e-01,6.391198404000001387e-01,6.398239936031999697e-01,6.399119984004000283e-01,6.399911999840004473e-01
5.999999999999999778e-01,8.389196406000000161e-01,8.397839856048000540e-01,8.398919964005998606e-01,8.399891999640007878e-01
8.000000000000000444e-01,9.588793607999999136e-01,9.597759744064001675e-01,9.598879936008000158e-01,9.599887999360010582e-01
1.000000000000000000e+00,9.989990010000000531e-01,9.997999600080000882e-01,9.998999900009999386e-01,9.999899999000011475e-01
